저는 고양이예요.,I'm a cat.
은행은 어느 쪽이에요?,Which way is the bank?
이건 영화인 것 같아요.,I think it's a movie.
저건 카메라인 것 같아요.,I think it's a camera.
커피처럼 보여요.,It looks like coffee.
사과처럼 보여요.,It looks like an apple.
내일 비가 올 것 같아요.,I think it will rain tomorrow.
다음 주에 시험이 있을 것 같아요.,I think there will be a test next week.
지금 공부 중이에요.,I'm studying now.
책 읽는 중이에요.,I'm in the middle of reading a book.
집으로 가는 중이에요.,I'm on my way home.
학교로 가는 중이에요.,I'm on my way to school.
한국어 배우고 있어요.,I'm learning Korean.
기타를 배우고 있어요.,I'm learning guitar.
길을 찾고 있어요.,I'm looking for the street.
제 친구를 찾고 있어요.,I'm looking for my friend.
시간이 필요해요.,I need time.
돈이 필요해요.,I need money.
차를 갖고 싶어요.,I want to have a car.
책을 갖고 싶어요.,I want to have a book.
물밖에 없어요.,I have nothing but water.
빵밖에 없어요.,There's nothing but bread.
수업이 끝났어요.,The class is over.
일이 끝났어요.,The work is done.
이 노래가 최고예요.,This song is the best.
그 영화가 최고예요.,That movie is the best.
커피가 제일 좋아요.,I like coffee the most.
음악이 제일 좋아요.,I like music the most.
이 책이 제일 쉬워요.,This book is the easiest.
이 문제는 제일 쉬워요.,This problem is the easiest.
그 시험이 제일 힘들어요.,That exam is the hardest.
그 일이 제일 힘들어요.,That work is the hardest.
주소 좀 알려 주세요.,Please let me know the address.
시간 좀 알려 주세요.,Please let me know the time.
정보를 알려 줄게요.,I'll let you know the information.
계획을 알려 줄게요.,I'll let you know the plan.
의사가 되고 싶어요.,I want to be a doctor.
가수가 되고 싶어요.,I want to be a singer.
선생님이 되고 싶어요?,Do you want to be a teacher?
배우가 되고 싶어요?,Do you want to be an actor?
이 영화를 본 적 있어요?,Have you ever seen this movie?
그 책을 본 적 있어요?,Have you ever seen that book?
서울에 가 본 적 있어요?,Have you ever been to Seoul?
한국에 가 본 적 있어요?,Have you ever been to Korea?
김치 먹어 본 적 있어요?,Have you ever eaten kimchi?
불고기 먹어 본 적 있어요?,Have you ever eaten bulgogi?
그 공연을 완전 기대 중이에요.,I'm really looking forward to that performance.
이번 여행을 완전 기대 중이에요.,I'm really looking forward to this trip.
그 사람은 어떻게 생겼어요?,What does that person look like?
그 동물은 어떻게 생겼어요?,What does that animal look like?
내일은 어떻게 됐어요?,What happened to tomorrow?
그 계획은 어떻게 됐어요?,How did that plan turn out?
시간이 필요할 거 같아요.,I think I need time.
돈이 필요할 거 같아요.,I think I need money.
왜 김치를 좋아해요?,Why do you like kimchi?
왜 그 영화를 좋아해요?,Why do you like that movie?
어디에서 커피를 살 수 있어요?,Where can I buy coffee?
어디에서 책을 살 수 있어요?,Where can I buy books?
이 일은 공부랑 관련 있어요.,This work is related to studying.
이 책은 여행이랑 관련 있어요.,This book is related to travel.
영화가 음악보다 더 낫다고 생각해요.,I think movies are better than music.
커피가 주스보다 더 낫다고 생각해요.,I think coffee is better than juice.
영화를 보면 음악이 생각나요.,When I see movies, I think of music.
사진을 보면 친구가 생각나요.,When I see photos, I think of my friend.
커피가 더 좋아요, 아니면 차가 더 좋아요?,Which do you prefer, coffee or tea?
책이 더 좋아요, 아니면 영화가 더 좋아요?,Which do you prefer, books or movies?
커피 말고 차 어때요?,How about tea instead of coffee?
영화 말고 책 어때요?,How about a book instead of a movie?
차 말고 커피가 좋아요.,I like coffee, not tea.
주스 말고 물이 좋아요.,I prefer water, not juice.
밥 먹어요.,I eatrice. 
일해요.,I'm working.
행복해요.,I'm happy.
바빠요.,I'm busy.
공부해요?,Are you studying?
일해요?,Are you working?
피곤해요?,Are you tired?
슬퍼요?,Are you sad?
어제 갔어요.,I went yesterday.
책 읽었어요.,I read a book.
행복했어요.,I was happy.
바빴어요.,I was busy.
공부했어요?,Did you study?
영화 봤어요?,Did you see the movie?
피곤했어요?,Were you tired?
슬펐어요?,Were you sad?
책 읽고 있어요.,I'm reading a book.
음악 듣고 있어요.,I'm listening to music.
공부하고 있어요?,Are you studying?
영화 보고 있어요?,Are you watching a movie?
지금 일하는 중이에요.,I’m in the middle of working.
청소하는 중이에요.,I’m in the middle of cleaning.
내일 갈 거예요.,I will go tomorrow.
곧 시작할 거예요.,I’m going to start soon.
