"사랑"이 무슨 뜻이에요?,What does "love" mean?
영화가 끝났어요.,The movie has finished.
영화가 어때요?,How is the movie?
요리사가 되고 싶어요?,Do you want to be a chef?
우유가 있어요.,There is milk.
은행은 어느 쪽이에요?,Which way is the bank?
은행이 어디 있어요?,Where is the bank?
음식이 어때요?,How is the food?
음악을 좋아하세요?,Do you like music?
이 가방이 마음에 들어요.,I like this bag.
이 과목이 제일 쉬워요.,This subject is the easiest.
이 노래가 최고예요.,This song is the best.
이 노래를 알아요?,Do you know this song?
이 문제는 제일 쉬워요.,This problem is the easiest.
이 사진이 마음에 들어요.,I like this picture.
이 시험이 제일 힘들어요.,This exam is the hardest.
이 식당을 알아요?,Do you know this restaurant?
이 옷이 마음에 들어요.,I like these clothes.
이 요리가 제일 쉬워요.,This dish is the easiest.
이 운동이 제일 힘들어요.,This exercise is the hardest.
이 음식은 맛있을 것처럼 보여요.,This food looks like it will be delicious.
이 음식이 최고예요.,This food is the best.
이 일이 제일 힘들어요.,This work is the hardest.
이 장소가 최고예요.,This place is the best.
이 집에는 가구밖에 없어요.,There's nothing but furniture in this house.
이 책을 알아요?,Do you know this book?
이거 물이 아니에요.,It's not water.
이거 뭐예요?,What is this?
이거 사과가 아니에요.,It's not an apple.
이거 영화가 아니에요.,It's not a movie.
이거 책이에요.,It's a book.
이거 카메라예요.,It's a camera.
이거 커피예요.,It's coffee.
이건 파란색이에요.,It's blue.
이번 주말은 바쁠 것 같아요.,I think this weekend will be busy.
저기 있는 건 뭐예요?,What is that over there?
저는 가수예요.,I'm a singer.
저는 고기를 안 좋아해요.,I don't like meat.
저는 고양이가 있어요.,I have a cat.
저는 공부 중이에요.,I'm in the middle of studying.
저는 그 길을 잘 몰라요.,I don't know that road well.
저는 그 사람을 알아요.,I know that person.
저는 그 사람을 잘 몰라요.,I don't know that person well.
저는 그 책을 갖고 싶어요.,I want to have that book.
저는 김치를 싫어해요.,I dislike kimchi.
저는 노래를 잘해요.,I'm good at singing.
저는 노래를 좋아해요.,I like songs.
저는 닭갈비를 싫어해요.,I dislike barbecued spare ribs.
저는 도움이 필요해요.,I need help.
저는 돈이 없어요.,I don't have money.
저는 딸기가 제일 좋아요.,I like strawberries the most.
저는 배우가 되고 싶어요.,I want to be an actor.
저는 배우가 아니에요.,I'm not an actor.
저는 봄이 제일 좋아요.,I like spring the most.
저는 비를 안 좋아해요.,I don't like rain.
저는 사무실에 있어요.,I'm at the office.
저는 새 가방을 갖고 싶어요.,I want to have a new bag.
저는 새로운 친구를 찾고 있어요.,I'm looking for a new friend.
저는 서울을 잘 몰라요.,I don't know Seoul well.
저는 선생님이 되고 싶어요.,I want to be a teacher.
저는 선생님이에요.,I'm a teacher.
저는 수영을 배우고 있어요.,I'm learning swimming.
저는 수영을 잘해요.,I'm good at swimming.
저는 시간이 필요해요.,I need time.
저는 시험을 안 좋아해요.,I don't like exams.
저는 여행가예요.,I'm a traveler.
저는 영어를 잘 못해요.,I'm not very good at English.
저는 영화를 좋아해요.,I like movies.
저는 요리랑은 거리가 멀어요.,I'm far from cooking.
저는 요리를 배우고 있어요.,I'm learning cooking.
저는 요리를 잘해요.,I'm good at cooking.
저는 운동이랑은 거리가 멀어요.,I'm far from exercising.
저는 운전을 잘 못해요.,I'm not very good at driving.
저는 음악을 좋아해요.,I like music.
저는 음악이 제일 좋아요.,I like music the most.
저는 의사가 되고 싶어요.,I want to be a doctor.
저는 의사가 아니에요.,I'm not a doctor.
저는 이노래를 알아요.,I know this song.
저는 이미 그 계획을 알고 있어요.,I’m already aware of that plan.
저는 이미 그 문제를 알고 있어요.,I’m already aware of that problem.
저는 이미 그 영화 줄거리를 알고 있어요.,I’m already aware of the movie plot.
저는 자동차를 갖고 싶어요.,I want to have a car.
저는 전화 중이에요.,I'm on a call.
저는 정보가 필요해요.,I need information.
저는 좋은 식당을 찾고 있어요.,I'm looking for a good restaurant.
저는 직업을 찾고 있어요.,I'm looking for a job.
저는 체육이랑은 거리가 멀어요.,I'm far from being athletic.
저는 춤을 잘 못해요.,I'm not very good at dancing.
저는 춤추기랑은 거리가 멀어요.,I'm far from dancing.
저는 학교를 싫어해요.,I dislike school.
저는 학생이 아니에요.,I'm not a student.
저는 학생이에요.,I'm a student.
저는 한국어를 배우고있어요.,I'm learning Korean.
저는 한국어를 알아요.,I know Korean.
저는 회의 중이에요.,I'm in the middle of a meeting.
제가 결과를 알려 줄게요.,I'll let you know the results.
제가 시간표를 알려 줄 게요.,I'll let you know the schedule.
제가 장소를 알려 줄게요.,I'll let you know the place.
지하철역은 어느 쪽이에요?,Which way is the subway station?
집으로 가는 중이에요.,I'm on my way home.
책 괜찮아요.,I'm okay with the book.
책상 위에 있는 건 뭐예요?,What is on the desk?
책상이 있어요.,There is a desk.
친구가 집에 있어요.,The friend is at home.
친구면 상관 없어요.,It doesn’t matter as long as it's a friend.
커피를 주세요.,Please give me coffee.
커피면 상관 없어요.,It doesn’t matter as long as it's coffee.
피를 좋아하세요?,Do you like coffee?
학교로 가는 중이에요.,I'm on my way to school.
한국에 가 본 적 있어요?,Have you ever been to Korea?
혹시 그 책을 말하는 거예요?,By any chance, are you talking about that book?
혹시 김치를 말하는 거예요?,By any chance, are you talking about kimchi?
혹시 연필이 있어요?,By any chance, do you have a pencil?
혹시 영화 "기생충"을 말하는 거예요?,By any chance, are you talking about the movie "Parasite"?
혹시 우유가 있어요?,By any chance, do you have milk?
혹시 치마가 있어요?,By any chance, do you have a skirt?
화장실이 어디 있어요?,Where is the bathroom?
회사로 가는 중이에요.,I'm on my way to the office.
회의가 끝났어요.,The meeting is done.
